iter	Passed	Remaining
0	4	4235
1	6	3448
2	10	3378
3	14	3542
4	17	3536
5	21	3550
6	26	3703
7	30	3750
8	34	3750
9	37	3743
10	42	3785
11	46	3824
12	50	3818
13	54	3833
14	58	3820
15	62	3835
16	65	3811
17	69	3804
18	73	3809
19	78	3833
20	82	3853
21	86	3857
22	91	3872
23	94	3860
24	98	3843
25	102	3821
26	105	3816
27	109	3813
28	113	3794
29	116	3782
30	121	3786
31	124	3778
32	128	3775
33	132	3777
34	136	3766
35	140	3764
36	144	3764
37	148	3761
38	152	3758
39	156	3760
40	160	3755
41	164	3762
42	168	3750
43	172	3739
44	176	3740
45	180	3750
46	184	3742
47	188	3733
48	192	3732
49	196	3736
50	200	3737
51	203	3701
52	207	3702
53	211	3697
54	214	3693
55	219	3691
56	223	3696
57	228	3704
58	232	3702
59	235	3692
60	239	3692
61	243	3687
62	247	3687
63	251	3678
64	255	3679
65	259	3677
66	263	3671
67	267	3666
68	272	3670
69	275	3660
70	279	3652
71	283	3650
72	287	3651
73	291	3647
74	295	3645
75	299	3642
76	303	3640
77	307	3633
78	311	3630
79	315	3631
80	320	3634
81	324	3637
82	329	3636
83	333	3636
84	337	3635
85	341	3627
86	345	3624
87	349	3618
88	353	3616
89	355	3595
90	358	3579
91	362	3577
92	367	3584
93	371	3582
94	375	3578
95	379	3570
96	383	3568
97	387	3565
98	391	3562
99	395	3557
100	399	3556
101	403	3549
102	407	3545
103	411	3541
104	414	3537
105	419	3536
106	423	3532
107	426	3524
108	430	3516
109	434	3516
110	438	3511
111	442	3507
112	446	3503
113	450	3501
114	454	3495
115	457	3489
116	461	3483
117	465	3481
118	469	3477
119	473	3473
120	477	3466
121	482	3469
122	485	3463
123	489	3457
124	493	3454
125	498	3456
126	502	3451
127	505	3446
128	509	3441
129	513	3435
130	517	3429
131	520	3423
132	524	3420
133	528	3417
134	532	3415
135	537	3411
136	540	3407
137	545	3404
138	548	3398
139	552	3394
140	556	3389
141	560	3386
142	564	3383
143	568	3380
144	573	3380
145	577	3376
146	581	3374
147	585	3370
148	589	3368
149	594	3367
150	598	3363
151	602	3359
152	606	3356
153	610	3353
154	614	3348
155	618	3346
156	622	3341
157	626	3337
158	630	3334
159	635	3337
160	639	3334
161	643	3331
162	648	3328
163	652	3324
164	656	3320
165	660	3317
166	664	3314
167	667	3307
168	671	3303
169	676	3300
170	680	3297
171	683	3292
172	687	3286
173	691	3283
174	695	3279
175	699	3274
176	703	3268
177	707	3266
178	711	3262
179	715	3258
180	718	3252
181	722	3249
182	726	3243
183	730	3239
184	734	3233
185	737	3229
186	742	3226
187	746	3222
188	750	3218
189	753	3213
190	757	3206
191	760	3200
192	764	3198
193	769	3196
194	773	3194
195	777	3190
196	782	3188
197	786	3185
198	790	3182
199	794	3179
200	799	3176
201	803	3173
202	807	3171
203	809	3160
204	814	3157
205	818	3154
206	823	3153
207	827	3149
208	831	3147
209	836	3147
210	841	3144
211	845	3142
212	849	3138
213	853	3134
214	857	3131
215	862	3129
216	866	3126
217	870	3121
218	874	3119
219	878	3116
220	883	3113
221	887	3110
222	891	3105
223	896	3105
224	900	3102
225	904	3098
226	908	3094
227	913	3092
228	917	3088
229	921	3085
230	925	3081
231	929	3078
232	934	3074
233	938	3070
234	942	3066
235	946	3063
236	950	3058
237	954	3054
238	959	3054
239	963	3050
240	967	3046
241	971	3042
242	975	3039
243	979	3034
244	983	3031
245	987	3026
246	991	3022
247	995	3019
248	1000	3016
249	1004	3012
250	1008	3009
251	1012	3006
252	1020	3014
253	1027	3017
254	1044	3051
255	1058	3077
256	1069	3092
257	1086	3126
258	1092	3126
259	1098	3126
260	1105	3129
261	1110	3128
262	1116	3127
263	1120	3124
264	1125	3121
265	1130	3118
266	1134	3113
267	1138	3110
268	1143	3106
269	1147	3103
270	1152	3100
271	1156	3096
272	1160	3090
273	1164	3086
274	1169	3083
275	1173	3079
276	1178	3075
277	1182	3070
278	1187	3068
279	1191	3062
280	1195	3057
281	1199	3052
282	1204	3052
283	1208	3047
284	1213	3043
285	1217	3040
286	1221	3035
287	1226	3032
288	1231	3029
289	1235	3024
290	1239	3019
291	1243	3014
292	1247	3010
293	1251	3005
294	1255	3001
295	1260	2996
296	1264	2992
297	1268	2987
298	1272	2982
299	1276	2978
300	1280	2973
301	1284	2967
302	1287	2962
303	1292	2960
304	1296	2955
305	1300	2950
306	1305	2945
307	1309	2942
308	1313	2937
309	1317	2932
310	1321	2928
311	1325	2923
312	1329	2918
313	1333	2913
314	1338	2909
315	1341	2904
316	1345	2899
317	1349	2894
318	1354	2890
319	1358	2886
320	1361	2880
321	1365	2875
322	1370	2872
323	1374	2867
324	1378	2862
325	1381	2857
326	1385	2852
327	1389	2847
328	1393	2842
329	1397	2837
330	1401	2832
331	1405	2827
332	1409	2822
333	1413	2817
334	1416	2812
335	1421	2808
336	1424	2803
337	1428	2798
338	1432	2793
339	1436	2788
340	1440	2783
341	1444	2779
342	1447	2773
343	1452	2769
344	1455	2763
345	1459	2758
346	1463	2753
347	1467	2749
348	1471	2744
349	1474	2739
350	1478	2733
351	1481	2727
352	1486	2723
353	1490	2719
354	1494	2714
355	1497	2709
356	1501	2705
357	1506	2701
358	1510	2697
359	1515	2693
360	1519	2689
361	1523	2684
362	1527	2680
363	1530	2675
364	1535	2671
365	1539	2666
366	1542	2661
367	1546	2656
368	1550	2651
369	1554	2646
370	1557	2641
371	1561	2636
372	1566	2633
373	1570	2627
374	1573	2622
375	1577	2617
376	1581	2613
377	1585	2608
378	1589	2604
379	1592	2598
380	1597	2594
381	1600	2589
382	1604	2584
383	1607	2579
384	1611	2574
385	1615	2569
386	1619	2564
387	1622	2559
388	1626	2555
389	1630	2550
390	1634	2545
391	1637	2540
392	1642	2536
393	1647	2534
394	1651	2529
395	1655	2525
396	1659	2520
397	1663	2515
398	1667	2511
399	1671	2506
400	1675	2502
401	1678	2497
402	1683	2493
403	1687	2488
404	1690	2483
405	1694	2479
406	1698	2475
407	1703	2471
408	1706	2466
409	1711	2463
410	1715	2458
411	1719	2454
412	1722	2448
413	1727	2444
414	1731	2440
415	1734	2435
416	1738	2429
417	1742	2425
418	1746	2421
419	1749	2416
420	1753	2411
421	1757	2406
422	1761	2402
423	1765	2398
424	1769	2393
425	1772	2388
426	1777	2384
427	1781	2381
428	1785	2377
429	1790	2372
430	1794	2368
431	1798	2364
432	1802	2359
433	1807	2356
434	1811	2352
435	1814	2347
436	1818	2342
437	1822	2338
438	1826	2333
439	1830	2329
440	1833	2324
441	1837	2319
442	1842	2316
443	1845	2311
444	1849	2307
445	1853	2302
446	1857	2298
447	1861	2293
448	1866	2289
449	1870	2285
450	1874	2281
451	1877	2276
452	1882	2272
453	1886	2268
454	1890	2264
455	1894	2260
456	1898	2255
457	1902	2251
458	1906	2247
459	1910	2242
460	1913	2237
461	1917	2232
462	1921	2228
463	1924	2223
464	1929	2219
465	1933	2216
466	1937	2211
467	1941	2207
468	1945	2203
469	1949	2198
470	1953	2194
471	1957	2189
472	1961	2185
473	1965	2180
474	1969	2176
475	1974	2173
476	1977	2168
477	1980	2162
478	1984	2158
479	1989	2155
480	1993	2151
481	1997	2146
482	2001	2142
483	2005	2138
484	2009	2133
485	2012	2128
486	2016	2124
487	2020	2119
488	2024	2115
489	2027	2110
490	2031	2106
491	2036	2102
492	2040	2097
493	2043	2093
494	2047	2089
