iter	Passed	Remaining
0	4	4092
1	6	3385
2	9	3223
3	12	3109
4	15	3066
5	18	3080
6	21	3081
7	25	3107
8	27	3075
9	30	3021
10	33	3016
11	36	3019
12	39	3005
13	42	2986
14	45	2955
15	48	2958
16	51	2960
17	54	2958
18	57	2955
19	60	2945
20	63	2943
21	66	2938
22	69	2945
23	72	2940
24	75	2945
25	78	2941
26	81	2951
27	84	2937
28	87	2933
29	90	2927
30	93	2917
31	96	2915
32	99	2909
33	102	2905
34	105	2900
35	108	2903
36	111	2904
37	115	2930
38	118	2932
39	122	2929
40	125	2940
41	129	2942
42	132	2941
43	135	2948
44	139	2952
45	142	2956
46	146	2968
47	149	2963
48	152	2965
49	156	2964
50	159	2966
51	161	2944
52	164	2945
53	167	2938
54	171	2938
55	174	2940
56	178	2945
57	181	2943
58	184	2938
59	187	2937
60	191	2940
61	194	2945
62	197	2944
63	201	2942
64	204	2941
65	207	2933
66	210	2936
67	214	2933
68	217	2933
69	220	2930
70	223	2929
71	227	2930
72	230	2927
73	233	2923
74	236	2919
75	239	2912
76	242	2912
77	245	2907
78	249	2904
79	252	2899
80	255	2894
81	258	2893
82	261	2891
83	265	2895
84	268	2892
85	271	2890
86	275	2892
87	278	2889
88	281	2886
89	283	2871
90	286	2858
91	289	2860
92	294	2870
93	298	2878
94	302	2881
95	306	2881
96	309	2882
97	313	2880
98	315	2875
99	319	2873
100	322	2870
101	325	2869
102	329	2865
103	332	2864
104	335	2859
105	339	2863
106	342	2860
107	346	2858
108	349	2855
109	352	2852
110	355	2847
111	358	2842
112	361	2838
113	364	2833
114	367	2830
115	371	2828
116	374	2828
117	377	2825
118	381	2824
119	384	2822
120	388	2820
121	391	2818
122	394	2814
123	398	2813
124	401	2809
125	404	2807
126	408	2809
127	412	2809
128	415	2808
129	419	2805
130	422	2805
131	425	2801
132	429	2798
133	432	2793
134	435	2791
135	439	2790
136	442	2788
137	446	2786
138	449	2781
139	452	2780
140	456	2779
141	459	2778
142	462	2774
143	466	2772
144	469	2770
145	473	2767
146	476	2764
147	479	2761
148	482	2757
149	486	2756
150	489	2753
151	492	2748
152	496	2745
153	499	2741
154	502	2741
155	506	2739
156	509	2736
157	512	2732
158	516	2729
159	519	2727
160	522	2723
161	525	2720
162	528	2716
163	532	2713
164	536	2713
165	539	2709
166	542	2706
167	545	2703
168	549	2700
169	552	2698
170	555	2694
171	559	2692
172	562	2689
173	565	2684
174	568	2682
175	572	2678
176	575	2675
177	578	2673
178	582	2672
179	586	2671
180	589	2667
181	592	2663
182	596	2661
183	599	2659
184	602	2655
185	605	2650
186	609	2650
187	613	2648
188	616	2647
189	620	2644
190	624	2644
191	627	2641
192	631	2639
193	634	2636
194	638	2635
195	641	2632
196	645	2629
197	648	2627
198	652	2624
199	655	2622
200	659	2619
201	662	2616
202	665	2614
203	667	2604
204	670	2600
205	673	2596
206	676	2592
207	680	2590
208	683	2588
209	687	2586
210	690	2582
211	693	2578
212	697	2575
213	700	2572
214	703	2569
215	706	2565
216	709	2561
217	713	2558
218	716	2554
219	719	2552
220	723	2548
221	726	2544
222	729	2541
223	732	2537
224	735	2533
225	738	2529
226	741	2526
227	745	2523
228	748	2520
229	751	2516
230	754	2512
231	757	2509
232	761	2506
233	764	2502
234	767	2498
235	770	2495
236	773	2490
237	777	2488
238	780	2484
239	783	2480
240	786	2477
241	789	2473
242	792	2469
243	795	2466
244	798	2462
245	801	2458
246	805	2454
247	808	2450
248	811	2447
249	814	2443
250	817	2439
251	820	2436
252	823	2432
253	827	2429
254	830	2425
255	833	2422
256	837	2420
257	840	2416
258	843	2412
259	846	2408
260	849	2405
261	853	2404
262	856	2400
263	859	2396
264	862	2392
265	866	2389
266	869	2386
267	872	2383
268	875	2380
269	879	2376
270	882	2373
271	885	2369
272	888	2365
273	891	2363
274	895	2360
275	898	2357
276	901	2354
277	905	2350
278	908	2347
279	911	2345
280	915	2342
281	918	2339
282	921	2335
283	925	2333
284	928	2330
285	931	2326
286	935	2322
287	938	2319
288	941	2316
289	944	2312
290	947	2309
291	951	2305
292	954	2302
293	957	2299
294	962	2299
295	966	2299
296	973	2303
297	977	2303
298	983	2305
299	990	2311
300	995	2311
301	999	2310
302	1003	2307
303	1006	2304
304	1010	2301
305	1014	2301
306	1018	2299
307	1022	2298
308	1026	2296
309	1030	2293
310	1033	2289
311	1038	2290
312	1044	2293
313	1049	2291
314	1053	2291
315	1058	2290
316	1062	2289
317	1066	2286
318	1069	2283
319	1072	2279
320	1075	2275
321	1079	2273
322	1083	2272
323	1087	2269
324	1091	2266
325	1094	2262
326	1097	2258
327	1100	2254
328	1103	2250
329	1106	2246
330	1109	2243
331	1113	2239
332	1117	2237
333	1120	2234
334	1123	2230
335	1127	2227
336	1130	2224
337	1134	2221
338	1138	2219
339	1141	2216
340	1145	2213
341	1149	2210
342	1152	2207
343	1156	2204
344	1159	2201
345	1163	2200
346	1167	2196
347	1170	2192
348	1173	2189
349	1177	2186
350	1181	2183
351	1184	2180
352	1187	2177
353	1191	2174
354	1195	2171
355	1198	2167
356	1201	2163
357	1204	2160
358	1207	2156
359	1211	2153
360	1214	2150
361	1218	2147
362	1222	2144
363	1225	2141
364	1229	2138
365	1232	2134
366	1235	2131
367	1239	2128
368	1242	2125
369	1246	2121
370	1249	2118
371	1252	2114
372	1255	2111
373	1260	2109
374	1263	2105
375	1266	2102
376	1270	2098
377	1273	2095
378	1276	2091
379	1279	2088
380	1282	2084
381	1286	2081
382	1290	2078
383	1293	2075
384	1296	2071
385	1299	2067
386	1303	2064
387	1306	2060
388	1309	2057
389	1312	2053
390	1316	2050
391	1319	2046
392	1323	2043
393	1326	2040
394	1329	2036
395	1332	2033
396	1336	2029
397	1339	2026
398	1342	2022
399	1345	2018
400	1349	2015
401	1352	2012
402	1355	2008
403	1359	2005
404	1362	2001
405	1365	1998
406	1369	1995
407	1372	1991
408	1375	1988
409	1379	1984
410	1383	1982
411	1386	1979
412	1390	1975
413	1393	1972
414	1397	1969
415	1400	1966
416	1403	1962
417	1407	1959
418	1410	1956
419	1414	1953
420	1418	1950
421	1422	1947
422	1425	1944
423	1428	1940
424	1432	1938
425	1435	1934
426	1439	1931
427	1443	1928
428	1446	1925
429	1450	1922
430	1454	1920
431	1457	1916
432	1460	1913
433	1464	1910
434	1468	1907
435	1471	1904
436	1475	1900
437	1478	1897
438	1482	1894
439	1485	1890
440	1488	1887
441	1492	1883
442	1495	1880
443	1499	1877
444	1503	1874
445	1506	1870
446	1509	1867
447	1513	1864
448	1516	1860
449	1519	1857
450	1522	1853
451	1525	1849
452	1529	1847
453	1533	1844
454	1536	1840
455	1540	1837
456	1543	1834
457	1547	1830
458	1550	1827
459	1553	1823
460	1556	1820
461	1559	1816
462	1563	1813
463	1566	1809
464	1570	1806
465	1573	1803
466	1576	1799
467	1580	1796
468	1583	1792
469	1587	1789
470	1590	1786
471	1593	1783
472	1597	1779
473	1601	1776
474	1604	1773
475	1608	1770
476	1611	1767
477	1614	1763
478	1618	1760
479	1621	1756
480	1625	1754
481	1628	1750
482	1632	1747
483	1635	1744
484	1638	1740
485	1642	1736
486	1645	1733
487	1649	1730
488	1652	1727
489	1655	1723
490	1659	1720
491	1662	1716
492	1665	1713
493	1669	1709
494	1672	1705
495	1675	1702
496	1678	1698
497	1682	1695
498	1685	1692
499	1688	1688
500	1691	1685
501	1694	1681
502	1698	1678
503	1701	1674
504	1704	1671
505	1708	1667
506	1711	1664
507	1714	1660
508	1717	1657
509	1721	1653
510	1724	1650
511	1727	1646
512	1730	1642
513	1733	1639
514	1736	1635
515	1740	1632
516	1743	1628
517	1746	1625
518	1749	1621
519	1753	1618
520	1756	1614
521	1759	1611
522	1762	1607
523	1766	1604
524	1769	1601
525	1772	1597
526	1776	1594
527	1779	1591
528	1783	1587
529	1786	1583
530	1789	1580
531	1792	1576
532	1810	1586
533	1813	1582
534	1817	1579
535	1820	1575
536	1823	1571
537	1826	1568
538	1829	1565
539	1833	1561
540	1836	1558
541	1840	1554
542	1843	1551
543	1846	1547
544	1850	1544
545	1853	1541
546	1857	1538
547	1861	1535
548	1864	1531
549	1868	1528
550	1871	1525
551	1875	1522
552	1878	1518
553	1882	1515
554	1886	1512
555	1889	1509
556	1893	1505
557	1896	1502
558	1900	1499
559	1904	1496
560	1907	1492
561	1910	1489
562	1913	1485
563	1917	1482
564	1920	1478
565	1924	1475
566	1928	1472
567	1931	1468
568	1934	1465
569	1938	1462
570	1941	1458
571	1945	1455
572	1948	1452
573	1952	1449
574	1956	1446
575	1959	1442
576	1962	1438
577	1966	1435
578	1969	1432
579	1972	1428
580	1975	1424
581	1979	1421
582	1983	1418
583	1986	1415
584	1990	1411
585	1993	1408
586	1997	1405
587	2000	1401
588	2003	1398
589	2007	1394
590	2010	1391
591	2013	1387
592	2017	1384
593	2020	1381
594	2023	1377
595	2027	1374
596	2030	1370
597	2034	1367
598	2037	1364
599	2040	1360
600	2044	1357
601	2048	1354
602	2051	1350
603	2054	1347
604	2058	1343
605	2061	1340
606	2065	1337
607	2068	1333
608	2072	1330
609	2075	1327
610	2079	1323
611	2083	1320
612	2086	1317
613	2089	1313
614	2092	1310
615	2095	1306
616	2099	1303
617	2102	1299
618	2105	1295
619	2108	1292
620	2112	1289
621	2115	1285
622	2118	1281
623	2121	1278
624	2124	1274
625	2128	1271
626	2131	1268
627	2134	1264
628	2138	1261
629	2141	1257
630	2145	1254
631	2148	1250
632	2151	1247
633	2155	1244
634	2158	1240
635	2162	1237
636	2165	1233
637	2168	1230
638	2172	1227
639	2175	1223
640	2179	1220
641	2182	1217
642	2186	1213
643	2189	1210
644	2193	1207
645	2196	1203
646	2199	1200
647	2203	1196
648	2206	1193
649	2210	1190
650	2213	1186
651	2216	1183
652	2220	1180
653	2224	1176
654	2227	1173
655	2230	1169
656	2233	1166
657	2236	1162
658	2240	1159
659	2243	1155
660	2246	1152
661	2249	1148
662	2252	1145
663	2256	1141
664	2259	1138
665	2263	1135
666	2266	1131
667	2270	1128
668	2273	1125
669	2277	1121
670	2280	1118
671	2283	1114
672	2286	1111
673	2290	1107
674	2293	1104
675	2297	1101
676	2300	1097
677	2304	1094
678	2307	1090
679	2311	1087
680	2314	1084
681	2318	1080
682	2321	1077
683	2325	1074
684	2328	1070
685	2332	1067
686	2335	1064
687	2338	1060
688	2342	1057
689	2345	1053
690	2348	1050
691	2351	1046
692	2355	1043
693	2358	1039
694	2361	1036
695	2365	1032
696	2368	1029
697	2372	1026
698	2375	1022
699	2378	1019
700	2382	1016
701	2384	1012
702	2388	1009
703	2391	1005
704	2394	1002
705	2398	998
706	2401	995
707	2405	991
708	2408	988
709	2412	985
710	2415	981
711	2418	978
712	2421	974
713	2425	971
714	2428	968
715	2432	964
716	2435	961
717	2438	957
718	2442	954
719	2445	950
720	2448	947
721	2452	944
722	2455	940
723	2458	937
724	2461	933
725	2464	930
726	2468	926
727	2471	923
728	2474	919
729	2478	916
730	2481	913
731	2485	909
732	2488	906
733	2491	903
734	2495	899
735	2498	896
736	2501	892
737	2504	889
738	2509	886
739	2512	882
740	2515	879
741	2518	875
742	2521	872
743	2524	868
744	2527	865
745	2530	861
746	2533	858
747	2537	854
748	2540	851
749	2543	847
750	2546	844
751	2549	840
752	2553	837
753	2556	834
754	2559	830
755	2562	827
756	2565	823
757	2569	820
758	2572	816
759	2575	813
760	2578	809
761	2581	806
762	2584	802
763	2588	799
764	2591	795
765	2594	792
766	2597	789
767	2600	785
768	2603	782
769	2606	778
770	2610	775
771	2613	771
772	2617	768
773	2620	765
774	2623	761
775	2626	758
776	2630	754
777	2633	751
778	2636	748
779	2640	744
780	2643	741
781	2646	737
782	2649	734
783	2652	730
784	2655	727
785	2658	723
786	2661	720
787	2664	716
788	2667	713
789	2671	710
790	2674	706
791	2677	703
792	2680	699
793	2683	696
794	2686	692
795	2689	689
796	2692	685
797	2695	682
798	2698	678
799	2702	675
800	2705	672
801	2707	668
802	2710	665
803	2714	661
804	2716	658
805	2719	654
806	2722	651
807	2725	647
808	2728	644
809	2732	640
810	2735	637
811	2738	633
812	2741	630
813	2743	627
814	2747	623
815	2750	620
816	2753	616
817	2756	613
818	2759	609
819	2763	606
820	2766	603
821	2770	599
822	2773	596
823	2777	593
824	2780	589
825	2783	586
826	2786	582
827	2788	579
828	2791	575
829	2795	572
830	2798	569
831	2801	565
832	2804	562
833	2808	558
834	2811	555
